station,ap1,rssi1,ocu1,con1,ap2,rssi2,ocu2,con2,ap3,rssi3,ocu3,con3,ap4,rssi4,ocu4,con4,associatedTo
sta1,0,-100.0,100.0,1.0,1,-69.0,66.6666666667,0.0310,1,-72.0,46.6666666667,0.0310,0,-100.0,100.0,1.0,3
sta2,0,-100.0,100.0,1.0,1,-55.0,55.5555555556,0.0102,1,-76.0,60.0,0.0415,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-69.0,53.3333333333,0.0245,1,-76.0,45.0,0.0527,3
sta4,0,-100.0,100.0,1.0,1,-74.0,66.6666666667,0.0461,1,-66.0,60.0,0.0186,1,-77.0,40.0,0.0560,3
sta5,1,-73.0,53.3333333333,0.0347,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-75.0,30.0,0.0478,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-56.0,30.0,0.0109,4
sta7,1,-70.0,40.0,0.0292,1,-70.0,66.6666666667,0.0321,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta8,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,60.0,0.0101,0,-100.0,100.0,1.0,3
sta9,1,-75.0,53.3333333333,0.0411,1,-72.0,66.6666666667,0.0385,1,-76.0,66.6666666667,0.0407,1,-76.0,35.0,0.0515,4
sta10,1,-74.0,46.6666666667,0.0385,1,-72.0,66.6666666667,0.0389,1,-77.0,60.0,0.0434,1,-76.0,45.0,0.0513,1
sta11,1,-75.0,60.0,0.0411,1,-72.0,66.6666666667,0.0385,1,-76.0,60.0,0.0407,1,-76.0,35.0,0.0515,4
sta12,1,-74.0,60.0,0.0375,1,-68.0,55.5555555556,0.0289,1,-76.0,60.0,0.0425,0,-100.0,100.0,1.0,2
sta13,1,-74.0,60.0,0.0375,1,-68.0,55.5555555556,0.0289,1,-76.0,60.0,0.0425,0,-100.0,100.0,1.0,2
sta14,1,-50.0,46.6666666667,0.0059,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-44.0,46.6666666667,0.0039,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-55.0,46.6666666667,0.0083,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,46.6666666667,0.0106,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-53.0,35.0,0.0088,4
sta20,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0338,4
sta22,0,-100.0,100.0,1.0,1,-50.0,55.5555555556,0.0073,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-46.0,55.5555555556,0.0050,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta1,0,-100.0,100.0,1.0,1,-69.0,66.6666666667,0.0306,1,-72.0,46.6666666667,0.0310,0,-100.0,100.0,1.0,3
sta2,0,-100.0,100.0,1.0,1,-54.0,55.5555555556,0.0096,1,-76.0,60.0,0.0418,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-69.0,46.6666666667,0.0240,1,-76.0,45.0,0.0531,3
sta4,0,-100.0,100.0,1.0,1,-74.0,66.6666666667,0.0456,1,-65.0,46.6666666667,0.0183,1,-77.0,45.0,0.0566,3
sta5,1,-73.0,60.0,0.0343,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-75.0,35.0,0.0476,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-56.0,35.0,0.0116,4
sta7,1,-71.0,46.6666666667,0.0295,1,-70.0,66.6666666667,0.0322,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta8,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,46.6666666667,0.0102,0,-100.0,100.0,1.0,3
sta9,1,-75.0,60.0,0.0420,1,-72.0,66.6666666667,0.0370,1,-75.0,60.0,0.0392,1,-76.0,35.0,0.0530,4
sta10,1,-75.0,46.6666666667,0.0403,1,-73.0,66.6666666667,0.0400,1,-76.0,60.0,0.0422,1,-75.0,45.0,0.0500,1
sta11,1,-74.0,60.0,0.0394,1,-72.0,66.6666666667,0.0373,1,-76.0,60.0,0.0419,1,-76.0,35.0,0.0527,4
sta12,1,-74.0,60.0,0.0390,1,-69.0,55.5555555556,0.0300,1,-76.0,60.0,0.0410,0,-100.0,100.0,1.0,2
sta13,1,-73.0,60.0,0.0361,1,-68.0,55.5555555556,0.0279,1,-77.0,60.0,0.0441,0,-100.0,100.0,1.0,2
sta14,1,-51.0,46.6666666667,0.0065,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-47.0,46.6666666667,0.0047,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,46.6666666667,0.0102,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-60.0,46.6666666667,0.0122,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-51.0,35.0,0.0079,4
sta20,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-71.0,35.0,0.0353,4
sta22,0,-100.0,100.0,1.0,1,-48.0,55.5555555556,0.0060,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-40.0,55.5555555556,0.0033,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta1,0,-100.0,100.0,1.0,1,-69.0,66.6666666667,0.0302,1,-72.0,46.6666666667,0.0311,0,-100.0,100.0,1.0,3
sta2,0,-100.0,100.0,1.0,1,-53.0,55.5555555556,0.0090,1,-76.0,60.0,0.0422,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-69.0,46.6666666667,0.0235,1,-76.0,45.0,0.0534,3
sta4,0,-100.0,100.0,1.0,1,-74.0,66.6666666667,0.0450,1,-65.0,46.6666666667,0.0180,0,-100.0,100.0,1.0,3
sta5,1,-72.0,60.0,0.0340,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-75.0,35.0,0.0473,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-57.0,35.0,0.0124,4
sta7,1,-71.0,46.6666666667,0.0297,1,-70.0,66.6666666667,0.0323,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta8,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,46.6666666667,0.0103,0,-100.0,100.0,1.0,3
sta9,1,-75.0,60.0,0.0430,1,-71.0,66.6666666667,0.0356,1,-75.0,60.0,0.0378,1,-77.0,35.0,0.0546,4
sta10,1,-74.0,46.6666666667,0.0385,1,-72.0,66.6666666667,0.0389,1,-77.0,60.0,0.0434,1,-76.0,45.0,0.0513,1
sta11,1,-74.0,60.0,0.0377,1,-71.0,66.6666666667,0.0362,1,-77.0,60.0,0.0432,1,-76.0,35.0,0.0540,4
sta12,1,-74.0,60.0,0.0375,1,-68.0,55.5555555556,0.0289,1,-76.0,60.0,0.0425,0,-100.0,100.0,1.0,2
sta13,1,-74.0,60.0,0.0375,1,-68.0,55.5555555556,0.0289,1,-76.0,60.0,0.0425,0,-100.0,100.0,1.0,2
sta14,1,-50.0,46.6666666667,0.0059,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-50.0,46.6666666667,0.0060,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-58.0,46.6666666667,0.0101,0,-100.0,100.0,1.0,3
