mov	sta1	sta2	sta3	sta4	sta5	sta6	sta7	sta8	sta9	sta10	sta11	sta12	sta13	sta14	sta15	sta16	sta17	sta18	sta19	sta20	sta21	sta22	sta23	sta24
0	99.9928375482,150.378414767,0.0	94.9921047321,170.628252386,0.0	129.993683786,125.502601909,0.0	114.992104732,140.628252386,0.0	50.48,115.33,0.00	90.00,100.80,0.00	80.24,149.79,0.00	129.46,140.00,0.00	91.2,141.5,0.0	88.5,141.2,0.0	91.2,141.5,0.0	88.5,151.2,0.0	88.5,151.2,0.0	46.5,146.2,0.0	49.2,146.5,0.0	136.5,143.8,0.0	121.2,146.5,0.0	141.5,148.8,0.0	91.5,98.8,0.0	91.5,123.8,0.0	91.2,92.5,0.0	89.5,187.2,0.0	92.5,184.8,0.0	92.5,184.8,0.0
1	99.9713604528,150.756287459,0.0	94.9684239152,171.256107954,0.0	129.974739132,126.004886364,0.0	114.968423915,141.256107954,0.0	50.96,115.66,0.00	90.00,101.60,0.00	80.48,149.58,0.00	128.92,140.00,0.00	92.4,143.0,0.0	90.0,140.0,0.0	89.7,142.7,0.0	90.0,150.0,0.0	87.0,152.4,0.0	45.0,147.4,0.0	50.7,145.3,0.0	138.0,142.6,0.0	122.7,145.3,0.0	143.0,147.6,0.0	93.0,97.6,0.0	92.7,125.3,0.0	89.7,93.7,0.0	91.0,186.0,0.0	93.7,186.3,0.0	91.3,183.3,0.0
2	99.9355994796,151.133076776,0.0	94.9289725065,171.883170138,0.0	129.943178005,126.506536111,0.0	114.928972507,141.883170138,0.0	51.44,115.99,0.00	90.00,102.40,0.00	80.72,149.37,0.00	128.38,140.00,0.00	93.6,144.5,0.0	88.5,141.2,0.0	88.2,143.9,0.0	88.5,151.2,0.0	88.5,151.2,0.0	46.5,146.2,0.0	52.2,144.1,0.0	139.2,144.1,0.0	121.5,143.8,0.0	144.2,149.1,0.0	94.2,99.1,0.0	91.2,126.5,0.0	90.9,95.2,0.0	89.8,184.5,0.0	92.2,187.5,0.0	92.5,184.8,0.0
3	99.8856058559,151.508242972,0.0	94.8737754245,172.509042871,0.0	129.89902034,127.007234297,0.0	114.873775425,142.509042871,0.0	51.92,116.32,0.00	90.00,103.20,0.00	80.96,149.16,0.00	127.84,140.00,0.00	94.8,146.0,0.0	89.7,142.7,0.0	87.0,142.4,0.0	87.0,152.4,0.0	89.7,152.7,0.0	45.3,144.7,0.0	53.4,145.6,0.0	138.0,142.6,0.0	120.0,145.0,0.0	142.7,150.3,0.0	92.7,100.3,0.0	92.4,128.0,0.0	89.7,93.7,0.0	88.3,185.7,0.0	93.7,186.3,0.0	91.0,186.0,0.0
4	99.821451197,151.881248624,0.0	94.8028675329,173.133330839,0.0	129.842294026,127.506664671,0.0	114.802867533,143.133330839,0.0	52.40,116.65,0.00	90.00,104.00,0.00	81.20,148.95,0.00	127.31,140.00,0.00	93.6,144.5,0.0	90.9,144.2,0.0	85.5,143.6,0.0	88.5,151.2,0.0	90.9,154.2,0.0	43.8,145.9,0.0	51.9,146.8,0.0	139.5,141.4,0.0	118.8,143.5,0.0	143.9,151.8,0.0	91.2,101.5,0.0	90.9,129.2,0.0	91.2,92.5,0.0	89.8,184.5,0.0	92.5,184.8,0.0	89.8,184.5,0.0
5	99.7432274039,152.251559405,0.0	94.7162936184,173.755639728,0.0	129.773034895,128.004511782,0.0	114.716293618,143.755639728,0.0	52.87,116.98,0.00	90.00,104.80,0.00	81.44,148.74,0.00	126.77,140.00,0.00	92.1,145.7,0.0	89.4,145.4,0.0	86.7,145.1,0.0	87.3,149.7,0.0	89.7,152.7,0.0	42.6,144.4,0.0	50.7,145.3,0.0	138.0,142.6,0.0	120.3,142.3,0.0	142.7,150.3,0.0	90.0,100.0,0.0	89.4,130.4,0.0	90.0,91.0,0.0	91.0,186.0,0.0	91.0,186.0,0.0	88.6,183.0,0.0
6	99.6510465314,152.61864485,0.0	94.6141083632,174.375576474,0.0	129.691286691,128.50046118,0.0	114.614108363,144.375576474,0.0	53.35,117.31,0.00	90.00,105.60,0.00	81.68,148.53,0.00	126.23,140.00,0.00	90.6,146.9,0.0	90.9,144.2,0.0	85.2,146.3,0.0	86.1,148.2,0.0	88.5,151.2,0.0	41.1,145.6,0.0	52.2,144.1,0.0	136.5,143.8,0.0	118.8,143.5,0.0	141.5,148.8,0.0	88.8,98.5,0.0	87.9,131.6,0.0	88.8,89.5,0.0	89.5,187.2,0.0	89.5,187.2,0.0	87.1,184.2,0.0
7	99.5450406277,152.98197911,0.0	94.4963763096,174.992749513,0.0	129.597101048,128.99419961,0.0	114.49637631,144.992749513,0.0	53.83,117.63,0.00	90.00,106.40,0.00	81.92,148.32,0.00	125.69,140.00,0.00	92.1,145.7,0.0	92.1,145.7,0.0	86.7,145.1,0.0	84.6,149.4,0.0	90.0,150.0,0.0	39.6,146.8,0.0	50.7,145.3,0.0	135.3,142.3,0.0	120.3,142.3,0.0	143.0,147.6,0.0	90.0,100.0,0.0	86.7,130.1,0.0	87.3,90.7,0.0	88.0,188.4,0.0	90.7,188.7,0.0	85.6,185.4,0.0
8	99.4253615453,153.341041715,0.0	94.3631718197,175.606769024,0.0	129.490537456,129.485415219,0.0	114.36317182,145.606769024,0.0	54.31,117.96,0.00	90.00,107.20,0.00	82.16,148.11,0.00	125.15,140.00,0.00	93.3,147.2,0.0	93.3,147.2,0.0	87.9,146.6,0.0	86.1,148.2,0.0	88.8,148.5,0.0	41.1,145.6,0.0	49.2,146.5,0.0	134.1,140.8,0.0	119.1,140.8,0.0	144.5,146.4,0.0	91.5,98.8,0.0	87.9,131.6,0.0	85.8,91.9,0.0	86.8,186.9,0.0	89.5,187.2,0.0	84.1,186.6,0.0
9	99.2921807232,153.695318309,0.0	94.2145790282,176.217247179,0.0	129.371663223,129.973797743,0.0	114.214579028,146.217247179,0.0	54.79,118.29,0.00	90.00,108.00,0.00	82.40,147.90,0.00	124.61,140.00,0.00	92.1,145.7,0.0	91.8,148.4,0.0	89.4,145.4,0.0	84.9,146.7,0.0	87.6,147.0,0.0	42.3,147.1,0.0	50.7,145.3,0.0	135.6,139.6,0.0	117.9,139.3,0.0	146.0,145.2,0.0	93.0,97.6,0.0	86.7,130.1,0.0	84.6,90.4,0.0	88.3,185.7,0.0	88.3,185.7,0.0	82.9,185.1,0.0
