station,aps_range,ap,rssi,num_sta,dist,cons_bat,associatedTo
sta1,1,1,-37.0,4,2.24,0.0224,1
sta2,23,2,-74.0,5,44.6,0.446,3
sta2,23,3,-53.0,4,7.0,0.07,3
sta3,142,1,-72.0,4,31.95,0.3195,4
sta3,142,4,-75.0,4,50.01,0.5001,4
sta3,142,2,-73.0,5,42.2,0.422,4
sta4,32,3,-69.0,4,25.08,0.2508,3
sta4,32,2,-67.0,5,26.25,0.2625,3
sta5,4,4,-68.0,4,29.07,0.2907,4
sta1,12,1,-48.0,4,5.39,0.0539,1
sta1,12,2,-75.0,5,47.42,0.4742,1
sta2,23,2,-74.0,5,43.42,0.4342,3
sta2,23,3,-52.0,4,6.71,0.0671,3
sta3,142,1,-72.0,4,33.24,0.3324,4
sta3,142,4,-75.0,4,48.84,0.4884,4
sta3,142,2,-73.0,5,42.95,0.4295,4
sta4,32,3,-71.0,4,28.65,0.2865,3
sta4,32,2,-65.0,5,21.93,0.2193,3
sta5,41,4,-70.0,4,32.39,0.3239,4
sta5,41,1,-76.0,4,44.82,0.4482,4
sta1,12,1,-54.0,4,8.06,0.0806,1
sta1,12,2,-75.0,5,47.38,0.4738,1
sta2,23,2,-74.0,5,43.6,0.436,3
sta2,23,3,-52.0,4,6.4,0.064,3
sta3,142,1,-70.0,4,29.07,0.2907,4
sta3,142,4,-75.0,4,49.04,0.4904,4
sta3,142,2,-74.0,5,45.22,0.4522,4
sta4,32,3,-72.0,4,30.81,0.3081,3
sta4,32,2,-63.0,5,19.21,0.1921,3
sta5,41,4,-70.0,4,32.76,0.3276,4
sta5,41,1,-76.0,4,43.28,0.4328,4
sta1,12,1,-54.0,4,8.54,0.0854,1
sta1,12,2,-74.0,5,45.97,0.4597,1
sta2,23,2,-74.0,5,43.83,0.4383,3
sta2,23,3,-52.0,4,6.4,0.064,3
sta3,142,1,-71.0,4,30.02,0.3002,4
sta3,142,4,-75.0,4,47.13,0.4713,4
sta3,142,2,-75.0,5,47.13,0.4713,4
sta4,32,3,-73.0,4,33.42,0.3342,3
sta4,32,2,-61.0,5,16.64,0.1664,3
sta5,4,4,-69.0,4,30.41,0.3041,4
sta1,1,1,-54.0,4,8.06,0.0806,1
sta2,23,2,-74.0,5,43.83,0.4383,3
sta2,23,3,-52.0,4,6.4,0.064,3
sta3,142,1,-71.0,4,30.68,0.3068,4
sta3,142,4,-76.0,4,51.2,0.512,4
sta3,142,2,-73.0,5,41.48,0.4148,4
sta4,32,3,-74.0,4,36.62,0.3662,3
sta4,32,2,-58.0,5,13.45,0.1345,3
sta5,4,4,-68.0,4,29.07,0.2907,4
sta1,1,1,-56.0,4,9.43,0.0943,1
sta2,23,2,-74.0,5,45.22,0.4522,3
sta2,23,3,-48.0,4,5.0,0.05,3
sta3,142,1,-71.0,4,30.81,0.3081,4
sta3,142,4,-76.0,4,53.94,0.5394,4
sta3,142,2,-72.0,5,38.33,0.3833,4
sta4,32,3,-74.0,4,35.0,0.35,3
sta4,32,2,-60.0,5,15.0,0.15,3
sta5,4,4,-71.0,4,36.01,0.3601,4
sta1,1,1,-60.0,4,13.45,0.1345,1
sta2,23,2,-74.0,5,45.22,0.4522,3
sta2,23,3,-48.0,4,5.0,0.05,3
sta3,142,1,-73.0,4,35.17,0.3517,4
sta3,142,4,-76.0,4,51.35,0.5135,4
sta3,142,2,-72.0,5,39.46,0.3946,4
sta4,32,3,-75.0,4,37.22,0.3722,3
sta4,32,2,-59.0,5,13.6,0.136,3
sta5,4,4,-72.0,4,37.0,0.37,4
sta1,1,1,-59.0,4,12.04,0.1204,1
sta2,23,2,-74.0,5,46.4,0.464,3
sta2,23,3,-44.0,4,3.61,0.0361,3
sta3,142,1,-72.0,4,32.76,0.3276,4
sta3,142,4,-76.0,4,53.6,0.536,4
sta3,142,2,-72.0,5,37.85,0.3785,4
sta4,32,3,-75.0,4,39.36,0.3936,3
sta4,32,2,-58.0,5,13.0,0.13,3
sta5,4,4,-70.0,4,34.01,0.3401,4
sta1,124,1,-63.0,4,16.28,0.1628,1
sta1,124,2,-75.0,5,49.65,0.4965,1
sta1,124,4,-77.0,4,56.44,0.5644,1
sta2,23,2,-74.0,5,45.79,0.4579,3
sta2,23,3,-51.0,4,6.08,0.0608,3
sta3,142,1,-72.0,4,33.24,0.3324,4
sta3,142,4,-76.0,4,51.62,0.5162,4
sta3,142,2,-72.0,5,39.81,0.3981,4
sta4,32,3,-75.0,4,39.81,0.3981,3
sta4,32,2,-59.0,5,13.6,0.136,3
sta5,43,4,-70.0,4,33.24,0.3324,4
sta5,43,3,-77.0,4,45.0,0.45,4
sta1,124,1,-63.0,4,16.4,0.164,1
sta1,124,2,-75.0,5,48.26,0.4826,1
sta1,124,4,-77.0,4,56.82,0.5682,1
sta2,23,2,-74.0,5,45.79,0.4579,3
sta2,23,3,-51.0,4,6.08,0.0608,3
sta3,142,1,-72.0,4,31.95,0.3195,4
sta3,142,4,-75.0,4,50.01,0.5001,4
sta3,142,2,-73.0,5,42.2,0.422,4
sta4,32,3,-75.0,4,38.48,0.3848,3
sta4,32,2,-60.0,5,14.87,0.1487,3
sta5,4,4,-70.0,4,33.0,0.33,4
sta1,124,1,-64.0,4,18.36,0.1836,1
sta1,124,2,-74.0,5,45.79,0.4579,1
sta1,124,4,-77.0,4,56.36,0.5636,1
sta2,23,2,-74.0,5,46.14,0.4614,3
sta2,23,3,-53.0,4,7.0,0.07,3
sta3,142,1,-72.0,4,32.7,0.327,4
sta3,142,4,-75.0,4,48.05,0.4805,4
sta3,142,2,-74.0,5,44.15,0.4415,4
sta4,32,3,-75.0,4,38.28,0.3828,3
sta4,32,2,-62.0,5,17.46,0.1746,3
sta5,4,4,-70.0,4,34.13,0.3413,4
sta1,12,1,-63.0,4,17.0,0.17,1
sta1,12,2,-74.0,5,45.49,0.4549,1
sta2,23,2,-75.0,5,46.53,0.4653,3
sta2,23,3,-55.0,4,8.06,0.0806,3
sta3,142,1,-71.0,4,29.41,0.2941,4
sta3,142,4,-76.0,4,52.39,0.5239,4
sta3,142,2,-73.0,5,40.8,0.408,4
sta4,321,3,-75.0,4,39.81,0.3981,3
sta4,321,2,-65.0,5,22.02,0.2202,3
sta4,321,1,-75.0,4,41.77,0.4177,3
sta5,4,4,-70.0,4,33.06,0.3306,4
sta1,12,1,-64.0,4,17.46,0.1746,1
sta1,12,2,-74.0,5,44.1,0.441,1
sta2,23,2,-75.0,5,46.96,0.4696,3
sta2,23,3,-56.0,4,9.22,0.0922,3
sta3,142,1,-71.0,4,29.55,0.2955,4
sta3,142,4,-75.0,4,49.73,0.4973,4
sta3,142,2,-74.0,5,43.97,0.4397,4
sta4,321,3,-76.0,4,42.2,0.422,3
sta4,321,2,-64.0,5,20.02,0.2002,3
sta4,321,1,-75.0,4,40.26,0.4026,3
sta5,4,4,-71.0,4,35.06,0.3506,4
sta1,124,1,-64.0,4,18.36,0.1836,1
sta1,124,2,-74.0,5,45.79,0.4579,1
sta1,124,4,-77.0,4,56.36,0.5636,1
sta2,3,3,-48.0,4,5.0,0.05,3
sta3,142,1,-71.0,4,31.38,0.3138,4
sta3,142,4,-75.0,4,49.24,0.4924,4
sta3,142,2,-74.0,5,43.42,0.4342,4
sta4,321,3,-77.0,4,44.15,0.4415,3
sta4,321,2,-64.0,5,20.22,0.2022,3
sta4,321,1,-74.0,4,38.33,0.3833,3
sta5,43,4,-72.0,4,38.33,0.3833,4
sta5,43,3,-76.0,4,41.34,0.4134,4
sta1,124,1,-66.0,4,21.19,0.2119,1
sta1,124,2,-73.0,6,42.06,0.4206,1
sta1,124,4,-77.0,4,56.65,0.5665,1
sta2,32,3,-44.0,3,3.61,0.0361,3
sta2,32,2,-75.0,6,46.62,0.4662,3
sta3,142,1,-72.0,4,32.57,0.3257,4
sta3,142,4,-76.0,4,50.8,0.508,4
sta3,142,2,-73.0,6,41.0,0.41,4
sta4,21,2,-65.0,6,22.47,0.2247,2
sta4,21,1,-72.0,4,33.24,0.3324,2
sta5,4,4,-72.0,4,37.0,0.37,4
sta1,12,1,-64.0,4,17.46,0.1746,1
sta1,12,2,-73.0,6,41.05,0.4105,1
sta2,32,3,-42.0,3,3.0,0.03,3
sta2,32,2,-75.0,6,47.63,0.4763,3
sta3,142,1,-71.0,4,30.81,0.3081,4
sta3,142,4,-76.0,4,53.94,0.5394,4
sta3,142,2,-72.0,6,38.33,0.3833,4
sta4,21,2,-65.0,6,23.26,0.2326,2
sta4,21,1,-71.0,4,31.32,0.3132,2
sta5,43,4,-72.0,4,39.05,0.3905,4
sta5,43,3,-77.0,3,43.42,0.4342,4
sta1,12,1,-63.0,4,16.76,0.1676,1
sta1,12,2,-73.0,6,42.44,0.4244,1
sta2,32,3,-53.0,3,7.0,0.07,3
sta2,32,2,-74.0,6,44.6,0.446,3
sta3,142,1,-71.0,4,30.08,0.3008,4
sta3,142,4,-76.0,4,53.15,0.5315,4
sta3,142,2,-72.0,6,39.56,0.3956,4
sta4,21,2,-64.0,6,20.62,0.2062,2
sta4,21,1,-72.0,4,33.84,0.3384,2
sta5,41,4,-73.0,4,40.01,0.4001,4
sta5,41,1,-76.0,4,43.83,0.4383,4
sta1,12,1,-63.0,4,16.76,0.1676,1
sta1,12,2,-73.0,6,42.44,0.4244,1
sta2,32,3,-53.0,3,7.28,0.0728,3
sta2,32,2,-74.0,6,43.28,0.4328,3
sta3,142,1,-71.0,4,31.58,0.3158,4
sta3,142,4,-77.0,4,54.74,0.5474,4
sta3,142,2,-72.0,6,37.11,0.3711,4
sta4,21,2,-64.0,6,21.19,0.2119,2
sta4,21,1,-73.0,4,34.48,0.3448,2
sta5,41,4,-73.0,4,40.01,0.4001,4
sta5,41,1,-76.0,4,43.83,0.4383,4
sta1,12,1,-66.0,4,20.62,0.2062,1
sta1,12,2,-73.0,6,40.31,0.4031,1
sta2,32,3,-52.0,3,6.4,0.064,3
sta2,32,2,-74.0,6,43.83,0.4383,3
sta3,142,1,-71.0,4,30.41,0.3041,4
sta3,142,4,-77.0,4,55.9,0.559,4
sta3,142,2,-71.0,6,36.4,0.364,4
sta4,213,2,-66.0,6,23.35,0.2335,2
sta4,213,1,-73.0,4,36.67,0.3667,2
sta4,213,3,-77.0,3,44.55,0.4455,2
sta5,41,4,-71.0,4,36.12,0.3612,4
sta5,41,1,-76.0,4,44.1,0.441,4
sta1,124,1,-66.0,4,21.19,0.2119,1
sta1,124,2,-73.0,6,42.06,0.4206,1
sta1,124,4,-77.0,4,56.65,0.5665,1
sta2,32,3,-44.0,3,3.61,0.0361,3
sta2,32,2,-74.0,6,46.4,0.464,3
sta3,142,1,-72.0,4,32.39,0.3239,4
sta3,142,4,-77.0,4,55.58,0.5558,4
sta3,142,2,-71.0,6,35.9,0.359,4
sta4,21,2,-67.0,6,26.93,0.2693,2
sta4,21,1,-72.0,4,33.24,0.3324,2
sta5,4,4,-71.0,4,36.01,0.3601,4
sta1,12,1,-64.0,5,18.03,0.1803,1
sta1,12,2,-73.0,6,42.72,0.4272,1
