station,ap,rssi,num_sta,dist,cons_bat,associatedTo
sta4,ap3,-77.0,0,40.31,0.4031,
sta4,ap4,-76.0,2,40.31,0.4031,
sta6,ap2,-74.0,5,35.0,0.35,
sta6,ap3,-73.0,1,30.41,0.3041,
sta7,ap2,-68.0,5,22.36,0.2236,
sta7,ap3,-72.0,2,28.28,0.2828,
sta3,ap1,-70.0,5,25.0,0.25,
sta3,ap4,-79.0,3,53.15,0.5315,
sta4,ap3,-77.0,3,40.31,0.4031,ap3
sta4,ap4,-76.0,4,40.31,0.4031,ap3
sta6,ap2,-74.0,5,35.0,0.35,ap3
sta6,ap3,-73.0,3,30.41,0.3041,ap3
sta7,ap2,-68.0,5,22.36,0.2236,ap3
sta7,ap3,-72.0,3,28.28,0.2828,ap3
sta3,ap1,-68.0,5,25.0,0.25,ap4
sta3,ap4,-79.0,4,53.15,0.5315,ap4
sta4,ap3,-77.0,3,40.31,0.4031,ap3
sta4,ap4,-76.0,4,40.31,0.4031,ap3
sta6,ap2,-71.0,5,35.0,0.35,ap3
sta6,ap3,-73.0,3,30.41,0.3041,ap3
sta7,ap2,-65.0,5,22.36,0.2236,ap3
sta7,ap3,-72.0,3,28.28,0.2828,ap3
sta3,ap1,-68.0,5,25.0,0.25,ap4
sta3,ap4,-79.0,4,53.15,0.5315,ap4
sta4,ap3,-76.0,3,40.31,0.4031,ap3
sta4,ap4,-76.0,4,40.31,0.4031,ap3
sta6,ap2,-71.0,5,35.0,0.35,ap3
sta6,ap3,-72.0,3,30.41,0.3041,ap3
sta7,ap2,-65.0,5,22.36,0.2236,ap3
sta7,ap3,-71.0,3,28.28,0.2828,ap3
sta3,ap1,-68.0,5,25.0,0.25,ap4
sta3,ap4,-79.0,4,53.15,0.5315,ap4
sta4,ap3,-76.0,3,40.31,0.4031,ap3
sta4,ap4,-73.0,4,40.31,0.4031,ap3
sta6,ap2,-71.0,5,35.0,0.35,ap3
sta6,ap3,-72.0,3,30.41,0.3041,ap3
sta7,ap2,-65.0,5,22.36,0.2236,ap3
sta7,ap3,-71.0,3,28.28,0.2828,ap3
sta3,ap1,-68.0,5,25.0,0.25,ap4
sta3,ap4,-76.0,4,53.15,0.5315,ap4
sta2,ap2,-74.0,5,44.6,0.446,
sta2,ap3,-53.0,3,7.0,0.07,
sta3,ap1,-72.0,4,31.95,0.3195,ap4
sta3,ap4,-75.0,4,50.01,0.5001,ap4
sta3,ap2,-73.0,5,42.2,0.422,ap4
sta1,ap1,-48.0,4,5.39,0.0539,ap1
sta1,ap2,-75.0,5,47.42,0.4742,ap1
sta2,ap2,-74.0,5,43.42,0.4342,ap3
sta2,ap3,-52.0,4,6.71,0.0671,ap3
sta3,ap1,-72.0,4,33.24,0.3324,ap4
sta3,ap4,-75.0,4,48.84,0.4884,ap4
sta3,ap2,-73.0,5,42.95,0.4295,ap4
sta1,ap1,-54.0,4,8.06,0.0806,ap1
sta1,ap2,-75.0,5,47.38,0.4738,ap1
