station,associatedTo,time,battery,rssi,x,y,z
sta1,ap3,1573578762832,99.9,[-77.0],114.992104732,140.628252386,0.0
sta1,ap3,1573578763209,99.9,[-65.0],114.968423915,141.256107954,0.0
sta1,ap3,1573578763567,99.9,[-65.0],114.928972507,141.883170138,0.0
sta1,ap3,1573578763917,99.9,[-65.0],114.873775425,142.509042871,0.0
sta1,ap3,1573578764267,99.9,[-65.0],114.802867533,143.133330839,0.0
sta1,ap3,1573578764618,99.9,[-65.0],114.716293618,143.755639728,0.0
sta1,ap3,1573578765000,99.9,[-65.0],114.614108363,144.375576474,0.0
sta1,ap3,1573578765370,99.9,[-65.0],114.49637631,144.992749513,0.0
sta1,ap3,1573578765720,99.9,[-65.0],114.36317182,145.606769024,0.0
sta1,ap3,1573578766072,99.9,[-65.0],114.214579028,146.217247179,0.0
sta1,ap3,1573578766423,99.9,[-65.0],114.05069179,146.823798388,0.0
sta1,ap3,1573578766814,99.9,[-65.0],113.871613619,147.426039539,0.0
sta1,ap3,1573578767164,99.9,[-65.0],113.677457625,148.023590245,0.0
sta1,ap3,1573578767514,99.9,[-65.0],113.468346441,148.616073079,0.0
sta1,ap3,1573578767864,99.9,[-65.0],113.244412147,149.203113817,0.0
sta1,ap3,1573578768217,99.9,[-65.0],113.005796184,149.784341671,0.0
sta1,ap3,1573578768567,99.9,[-65.0],112.752649267,150.359389525,0.0
sta1,ap3,1573578768921,99.9,[-66.0],112.485131289,150.927894166,0.0
sta1,ap3,1573578769271,99.9,[-66.0],112.20341122,151.489496516,0.0
sta1,ap3,1573578769622,99.9,[-66.0],111.907667001,152.043841853,0.0
sta1,ap3,1573578769971,99.9,[-66.0],111.59808543,152.590580041,0.0
sta1,ap3,1573578770320,99.9,[-67.0],111.274862045,153.129365749,0.0
sta1,ap3,1573578770670,99.9,[-67.0],110.938201001,153.659858668,0.0
sta1,ap3,1573578771070,99.9,[-67.0],110.588314941,154.181723728,0.0
sta1,ap3,1573578771427,99.9,[-67.0],110.225424859,154.694631307,0.0
sta1,ap3,1573578771780,99.9,[-68.0],109.849759966,155.198257442,0.0
sta1,ap3,1573578772138,99.9,[-68.0],109.461557539,155.692284032,0.0
sta1,ap3,1573578772492,99.9,[-68.0],109.061062775,156.176399039,0.0
sta1,ap3,1573578772841,99.9,[-69.0],108.648528636,156.650296686,0.0
sta1,ap3,1573578773201,99.9,[-69.0],108.224215686,157.113677648,0.0
sta1,ap3,1573578773549,99.9,[-69.0],107.78839193,157.566249245,0.0
sta1,ap3,1573578773906,99.9,[-69.0],107.341332645,158.007725622,0.0
sta1,ap2,1573578774283,99.8,[-70.0],106.883320203,158.437827934,0.0
sta1,ap2,1573578774636,99.8,[-67.0],106.414643894,158.856284518,0.0
sta1,ap2,1573578774987,99.8,[-67.0],105.935599744,159.262831069,0.0
sta1,ap2,1573578775375,99.8,[-66.0],105.446490327,159.657210803,0.0
sta1,ap2,1573578775726,99.8,[-66.0],104.947624576,160.039174622,0.0
sta1,ap2,1573578776075,99.8,[-66.0],104.439317586,160.408481268,0.0
sta1,ap2,1573578776430,99.8,[-65.0],103.921890412,160.76489748,0.0
sta1,ap2,1573578776783,99.8,[-65.0],103.395669874,161.108198138,0.0
sta1,ap2,1573578777135,99.8,[-65.0],102.860988345,161.438166405,0.0
sta1,ap2,1573578777496,99.8,[-64.0],102.318183539,161.754593867,0.0
sta1,ap2,1573578777850,99.8,[-64.0],101.767598304,162.057280661,0.0
sta1,ap2,1573578778203,99.8,[-64.0],101.209580402,162.346035604,0.0
sta1,ap2,1573578778554,99.8,[-63.0],100.644482289,162.620676312,0.0
sta1,ap2,1573578778904,99.8,[-63.0],100.072660893,162.881029316,0.0
sta1,ap2,1573578779259,99.8,[-63.0],99.494477388,163.126930171,0.0
sta1,ap2,1573578779641,99.8,[-62.0],98.9102969678,163.358223561,0.0
sta1,ap2,1573578779990,99.8,[-62.0],98.3204886131,163.574763397,0.0
sta1,ap2,1573578780339,99.8,[-62.0],97.7254248594,163.776412907,0.0
sta1,ap2,1573578780695,99.8,[-62.0],97.1254815617,163.963044725,0.0
sta1,ap2,1573578781046,99.8,[-61.0],96.5210376572,164.134540971,0.0
sta1,ap2,1573578781397,99.8,[-61.0],95.9124749256,164.290793323,0.0
sta1,ap2,1573578781753,99.8,[-61.0],95.3001777481,164.431703089,0.0
sta1,ap2,1573578782102,99.8,[-61.0],94.6845328646,164.557181268,0.0
sta1,ap2,1573578782452,99.8,[-60.0],94.0659291299,164.667148605,0.0
sta1,ap2,1573578782802,99.8,[-60.0],93.4447572671,164.761535642,0.0
sta1,ap2,1573578783152,99.8,[-60.0],92.8214096218,164.840282763,0.0
sta1,ap2,1573578783504,99.8,[-60.0],92.1962799138,164.903340229,0.0
sta1,ap2,1573578783888,99.8,[-60.0],91.5697629882,164.950668211,0.0
sta1,ap2,1573578784255,99.8,[-60.0],90.9422545667,164.982236816,0.0
sta1,ap2,1573578784605,99.8,[-60.0],90.3141509971,164.998026105,0.0
sta1,ap2,1573578784956,99.8,[-60.0],89.6858490029,164.998026105,0.0
sta1,ap2,1573578785312,99.8,[-60.0],89.0577454333,164.982236816,0.0
sta1,ap2,1573578785661,99.8,[-60.0],88.4302370118,164.950668211,0.0
sta1,ap2,1573578786016,99.8,[-60.0],87.8037200862,164.903340229,0.0
sta1,ap2,1573578786373,99.8,[-60.0],87.1785903782,164.840282763,0.0
sta1,ap2,1573578786745,99.8,[-61.0],86.5552427329,164.761535642,0.0
sta1,ap2,1573578787095,99.8,[-61.0],85.9340708701,164.667148605,0.0
sta1,ap2,1573578787446,99.8,[-61.0],85.3154671354,164.557181268,0.0
sta1,ap2,1573578787798,99.8,[-61.0],84.6998222519,164.431703089,0.0
sta1,ap2,1573578788180,99.8,[-62.0],84.0875250744,164.290793323,0.0
sta1,ap2,1573578788534,99.8,[-62.0],83.4789623428,164.134540971,0.0
sta1,ap2,1573578788885,99.8,[-62.0],82.8745184383,163.963044725,0.0
sta1,ap2,1573578789236,99.8,[-62.0],82.2745751406,163.776412907,0.0
sta1,ap2,1573578789589,99.8,[-63.0],81.6795113869,163.574763397,0.0
sta1,ap2,1573578789955,99.8,[-63.0],81.0897030322,163.358223561,0.0
sta1,ap2,1573578790306,99.8,[-63.0],80.505522612,163.126930171,0.0
sta1,ap2,1573578790673,99.8,[-64.0],79.9273391072,162.881029316,0.0
sta1,ap2,1573578791027,99.8,[-64.0],79.3555177109,162.620676312,0.0
sta1,ap2,1573578791401,99.8,[-64.0],78.7904195977,162.346035604,0.0
sta1,ap2,1573578791755,99.8,[-65.0],78.2324016959,162.057280661,0.0
sta1,ap2,1573578792107,99.8,[-65.0],77.6818164613,161.754593867,0.0
sta1,ap2,1573578792488,99.8,[-65.0],77.1390116555,161.438166405,0.0
sta1,ap2,1573578792837,99.8,[-66.0],76.6043301255,161.108198138,0.0
sta1,ap2,1573578793190,99.8,[-66.0],76.0781095878,160.76489748,0.0
sta1,ap2,1573578793548,99.8,[-66.0],75.5606824144,160.408481268,0.0
sta1,ap2,1573578793910,99.8,[-67.0],75.0523754236,160.039174622,0.0
sta1,ap2,1573578794263,99.8,[-67.0],74.5535096727,159.657210803,0.0
sta1,ap1,1573578794637,99.7,[-67.0],74.0644002563,159.262831069,0.0
sta1,ap1,1573578794987,99.7,[-68.0],73.5853561062,158.856284518,0.0
sta1,ap1,1573578795339,99.7,[-68.0],73.116679797,158.437827934,0.0
sta1,ap1,1573578795694,99.7,[-67.0],72.6586673547,158.007725622,0.0
sta1,ap1,1573578796050,99.7,[-67.0],72.2116080698,157.566249245,0.0
sta1,ap1,1573578796405,99.7,[-67.0],71.7757843145,157.113677648,0.0
sta1,ap1,1573578796794,99.7,[-66.0],71.3514713644,156.650296686,0.0
sta1,ap1,1573578797144,99.7,[-66.0],70.9389372247,156.176399039,0.0
sta1,ap1,1573578797507,99.7,[-66.0],70.5384424608,155.692284032,0.0
sta1,ap1,1573578797883,99.7,[-65.0],70.1502400338,155.198257442,0.0
sta1,ap1,1573578798233,99.7,[-65.0],69.7745751406,154.694631307,0.0
sta1,ap1,1573578798587,99.7,[-65.0],69.4116850593,154.181723728,0.0
sta1,ap1,1573578798939,99.7,[-64.0],69.0617989989,153.659858668,0.0
sta1,ap1,1573578799291,99.7,[-64.0],68.7251379551,153.129365749,0.0
sta1,ap1,1573578799643,99.7,[-64.0],68.4019145702,152.590580041,0.0
sta1,ap1,1573578799998,99.7,[-64.0],68.0923329989,152.043841853,0.0
sta1,ap1,1573578800372,99.7,[-63.0],67.7965887797,151.489496516,0.0
sta1,ap1,1573578800725,99.7,[-63.0],67.5148687108,150.927894166,0.0
sta1,ap1,1573578801096,99.7,[-63.0],67.2473507329,150.359389525,0.0
sta1,ap1,1573578801446,99.7,[-63.0],66.9942038159,149.784341671,0.0
sta1,ap1,1573578801795,99.7,[-62.0],66.7555878528,149.203113817,0.0
sta1,ap1,1573578802143,99.7,[-62.0],66.5316535587,148.616073079,0.0
sta1,ap1,1573578802502,99.7,[-62.0],66.3225423751,148.023590245,0.0
sta1,ap1,1573578802852,99.7,[-62.0],66.1283863813,147.426039539,0.0
sta1,ap1,1573578803201,99.7,[-62.0],65.9493082103,146.823798388,0.0
sta1,ap1,1573578803551,99.7,[-62.0],65.7854209718,146.217247179,0.0
sta1,ap1,1573578803924,99.7,[-62.0],65.6368281803,145.606769024,0.0
sta1,ap1,1573578804275,99.7,[-62.0],65.5036236904,144.992749513,0.0
sta1,ap1,1573578804634,99.7,[-62.0],65.3858916368,144.375576474,0.0
sta1,ap1,1573578804985,99.7,[-62.0],65.2837063816,143.755639728,0.0
sta1,ap1,1573578805378,99.7,[-62.0],65.1971324671,143.133330839,0.0
sta1,ap1,1573578805730,99.7,[-63.0],65.1262245755,142.509042871,0.0
sta1,ap1,1573578806079,99.7,[-63.0],65.0710274935,141.883170138,0.0
sta1,ap1,1573578806445,99.7,[-63.0],65.0315760848,141.256107954,0.0
sta1,ap1,1573578806795,99.7,[-63.0],65.0078952679,140.628252386,0.0
sta1,ap1,1573578807146,99.7,[-64.0],65.0,140.0,0.0
sta1,ap1,1573578807502,99.7,[-64.0],65.0078952679,139.371747614,0.0
sta1,ap1,1573578807860,99.7,[-64.0],65.0315760848,138.743892046,0.0
sta1,ap1,1573578808215,99.7,[-64.0],65.0710274935,138.116829862,0.0
sta1,ap1,1573578808571,99.7,[-65.0],65.1262245755,137.490957129,0.0
sta1,ap1,1573578808922,99.7,[-65.0],65.1971324671,136.866669161,0.0
sta1,ap1,1573578809270,99.7,[-65.0],65.2837063816,136.244360272,0.0
sta1,ap1,1573578809663,99.7,[-66.0],65.3858916368,135.624423526,0.0
sta1,ap1,1573578810012,99.7,[-66.0],65.5036236904,135.007250487,0.0
sta1,ap1,1573578810361,99.7,[-66.0],65.6368281803,134.393230976,0.0
sta1,ap1,1573578810713,99.7,[-67.0],65.7854209718,133.782752821,0.0
sta1,ap1,1573578811070,99.7,[-67.0],65.9493082103,133.176201612,0.0
sta1,ap1,1573578811422,99.7,[-67.0],66.1283863813,132.573960461,0.0
sta1,ap1,1573578811774,99.7,[-68.0],66.3225423751,131.976409755,0.0
sta1,ap1,1573578812127,99.7,[-68.0],66.5316535587,131.383926921,0.0
sta1,ap1,1573578812484,99.7,[-68.0],66.7555878528,130.796886183,0.0
sta1,ap1,1573578812837,99.7,[-69.0],66.9942038159,130.215658329,0.0
sta1,ap1,1573578813196,99.7,[-69.0],67.2473507329,129.640610475,0.0
sta1,ap1,1573578813549,99.7,[-69.0],67.5148687108,129.072105834,0.0
sta1,ap1,1573578813933,99.7,[-70.0],67.7965887797,128.510503484,0.0
sta1,ap1,1573578814284,99.7,[-70.0],68.0923329989,127.956158147,0.0
sta1,ap4,1573578814662,99.6,[-70.0],68.4019145702,127.409419959,0.0
sta1,ap4,1573578815013,99.6,[-74.0],68.7251379551,126.870634251,0.0
sta1,ap4,1573578815365,99.6,[-73.0],69.0617989989,126.340141332,0.0
sta1,ap4,1573578815714,99.6,[-73.0],69.4116850593,125.818276272,0.0
