station,associatedTo,time,battery,rssi,x,y,z
sta1,ap4,1579966638021,100,[-76.0],40.48,100.36,0.00
sta1,ap4,1579966638395,100,[-76.0],40.96,100.72,0.00
sta1,ap4,1579966638774,100,[-76.0],41.44,101.08,0.00
sta1,ap4,1579966639150,100,[-76.0],41.92,101.44,0.00
sta1,ap4,1579966639527,100,[-75.0],42.40,101.80,0.00
sta1,ap4,1579966639916,100,[-75.0],42.87,102.16,0.00
sta1,ap4,1579966640307,100,[-75.0],43.35,102.51,0.00
sta1,ap4,1579966640688,100,[-75.0],43.83,102.87,0.00
sta1,ap4,1579966641063,100,[-75.0],44.31,103.23,0.00
sta1,ap4,1579966641445,100,[-75.0],44.79,103.59,0.00
sta1,ap4,1579966641823,100,[-75.0],45.27,103.95,0.00
sta1,ap4,1579966642233,100,[-75.0],45.75,104.31,0.00
sta1,ap4,1579966642610,100,[-75.0],46.23,104.67,0.00
sta1,ap4,1579966642992,100,[-75.0],46.71,105.03,0.00
sta1,ap4,1579966643363,100,[-75.0],47.19,105.39,0.00
sta1,ap4,1579966643742,100,[-74.0],47.66,105.75,0.00
sta1,ap4,1579966644126,100,[-74.0],48.14,106.11,0.00
sta1,ap4,1579966644497,100,[-74.0],48.62,106.47,0.00
sta1,ap4,1579966644870,100,[-74.0],49.10,106.83,0.00
sta1,ap4,1579966645239,100,[-74.0],49.58,107.19,0.00
sta1,ap4,1579966645619,100,[-74.0],50.06,107.54,0.00
sta1,ap4,1579966645992,100,[-74.0],50.54,107.90,0.00
sta1,ap4,1579966646367,100,[-74.0],51.02,108.26,0.00
sta1,ap4,1579966646779,100,[-74.0],51.50,108.62,0.00
sta1,ap4,1579966647149,100,[-74.0],51.98,108.98,0.00
sta1,ap4,1579966647520,100,[-74.0],52.46,109.34,0.00
sta1,ap4,1579966647907,100,[-73.0],52.93,109.70,0.00
sta1,ap4,1579966648284,100,[-73.0],53.41,110.06,0.00
sta1,ap4,1579966648653,100,[-73.0],53.89,110.42,0.00
sta1,ap4,1579966649035,100,[-73.0],54.37,110.78,0.00
sta1,ap4,1579966649398,100,[-73.0],54.85,111.14,0.00
sta1,ap4,1579966649756,100,[-73.0],55.33,111.50,0.00
sta1,ap4,1579966650115,100,[-73.0],55.81,111.86,0.00
sta1,ap4,1579966650472,100,[-73.0],56.29,112.22,0.00
