station,associatedTo,time,battery,rssi,x,y,z
sta1,ap4,1573744148129,99.9,[-77.0],88.5,146.2,0.0
sta1,ap2,1573744148505,99.8,[-77.0],87.0,147.4,0.0
sta1,ap4,1573744148892,99.7,[-70.0],88.5,146.2,0.0
sta1,ap2,1573744149268,99.6,[-70.0],89.7,147.7,0.0
sta1,ap4,1573744149638,99.5,[-70.0],88.5,146.2,0.0
sta1,ap4,1573744149993,99.5,[-77.0],87.3,144.7,0.0
sta1,ap4,1573744150345,99.5,[-76.0],88.8,143.5,0.0
sta1,ap4,1573744150698,99.5,[-76.0],90.3,142.3,0.0
sta1,ap4,1573744151050,99.5,[-76.0],91.5,143.8,0.0
sta1,ap4,1573744151418,99.5,[-77.0],90.0,145.0,0.0
sta1,ap4,1573744151768,99.5,[-76.0],88.8,143.5,0.0
sta1,ap4,1573744152117,99.5,[-76.0],87.6,142.0,0.0
sta1,ap4,1573744152471,99.5,[-76.0],86.1,143.2,0.0
sta1,ap4,1573744152825,99.5,[-77.0],84.6,144.4,0.0
sta1,ap4,1573744153220,99.5,[-77.0],85.8,145.9,0.0
sta1,ap4,1573744153582,99.5,[-77.0],87.3,144.7,0.0
sta1,ap4,1573744153934,99.5,[-77.0],85.8,145.9,0.0
sta1,ap1,1573744154307,99.4,[-77.0],84.3,147.1,0.0
sta1,ap4,1573744154681,99.3,[-73.0],85.8,145.9,0.0
sta1,ap4,1573744155030,99.3,[-77.0],87.3,144.7,0.0
sta1,ap4,1573744155379,99.3,[-76.0],86.1,143.2,0.0
sta1,ap4,1573744155732,99.3,[-77.0],87.3,144.7,0.0
sta1,ap4,1573744156084,99.3,[-77.0],88.5,146.2,0.0
sta1,ap2,1573744156455,99.2,[-77.0],87.0,147.4,0.0
sta1,ap1,1573744156827,99.1,[-70.0],85.5,148.6,0.0
sta1,ap2,1573744157202,99.0,[-73.0],87.0,147.4,0.0
sta1,ap1,1573744157574,98.9,[-70.0],85.5,148.6,0.0
sta1,ap2,1573744157947,98.8,[-73.0],87.0,147.4,0.0
sta1,ap1,1573744158324,98.7,[-70.0],85.5,148.6,0.0
sta1,ap1,1573744158671,98.7,[-72.0],84.3,147.1,0.0
sta1,ap1,1573744159025,98.7,[-73.0],85.5,148.6,0.0
sta1,ap2,1573744159396,98.6,[-73.0],87.0,147.4,0.0
sta1,ap4,1573744159767,98.5,[-71.0],85.8,145.9,0.0
sta1,ap2,1573744160136,98.4,[-71.0],87.0,147.4,0.0
sta1,ap2,1573744160486,98.4,[-69.0],88.2,148.9,0.0
sta1,ap2,1573744160855,98.4,[-70.0],89.7,147.7,0.0
sta1,ap4,1573744161228,98.3,[-70.0],91.2,146.5,0.0
sta1,ap2,1573744161602,98.2,[-70.0],92.4,148.0,0.0
