station,associatedTo,time,battery,rssi,x,y,z
sta1,ap4,1573592451745,100,[-70.0],88.8,123.5,0.0
sta1,ap4,1573592452108,100,[-70.0],90.3,122.3,0.0
sta1,ap4,1573592452459,100,[-69.0],91.8,121.1,0.0
sta1,ap4,1573592452818,100,[-70.0],93.0,122.6,0.0
sta1,ap4,1573592453180,100,[-69.0],91.8,121.1,0.0
sta1,ap4,1573592453531,100,[-69.0],93.3,119.9,0.0
sta1,ap4,1573592453894,100,[-69.0],91.8,121.1,0.0
sta1,ap4,1573592454248,100,[-70.0],93.0,122.6,0.0
sta1,ap4,1573592454599,100,[-69.0],94.5,121.4,0.0
sta1,ap4,1573592454949,100,[-70.0],93.0,122.6,0.0
sta1,ap4,1573592455316,100,[-69.0],91.8,121.1,0.0
sta1,ap4,1573592455674,100,[-69.0],90.6,119.6,0.0
sta1,ap4,1573592456026,100,[-69.0],89.1,120.8,0.0
sta1,ap4,1573592456378,100,[-69.0],87.9,119.3,0.0
sta1,ap4,1573592456728,100,[-68.0],86.7,117.8,0.0
sta1,ap4,1573592457078,100,[-69.0],87.9,119.3,0.0
sta1,ap4,1573592457427,100,[-69.0],86.4,120.5,0.0
sta1,ap4,1573592457811,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592458165,100,[-69.0],89.1,120.8,0.0
sta1,ap4,1573592458515,100,[-70.0],90.3,122.3,0.0
sta1,ap4,1573592458870,100,[-70.0],88.8,123.5,0.0
sta1,ap4,1573592459241,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592459592,100,[-69.0],89.1,120.8,0.0
sta1,ap4,1573592459953,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592460313,100,[-70.0],88.8,123.5,0.0
sta1,ap4,1573592460669,100,[-70.0],90.3,122.3,0.0
sta1,ap4,1573592461024,100,[-70.0],88.8,123.5,0.0
sta1,ap4,1573592461374,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592461724,100,[-69.0],86.4,120.5,0.0
sta1,ap4,1573592462074,100,[-70.0],84.9,121.7,0.0
sta1,ap4,1573592462424,100,[-70.0],86.1,123.2,0.0
sta1,ap4,1573592462777,100,[-71.0],84.6,124.4,0.0
sta1,ap4,1573592463137,100,[-70.0],86.1,123.2,0.0
sta1,ap4,1573592463484,100,[-71.0],84.6,124.4,0.0
sta1,ap4,1573592463844,100,[-71.0],85.8,125.9,0.0
sta1,ap4,1573592464199,100,[-71.0],84.6,124.4,0.0
sta1,ap4,1573592464549,100,[-70.0],86.1,123.2,0.0
sta1,ap4,1573592464901,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592465254,100,[-70.0],88.8,123.5,0.0
sta1,ap4,1573592465604,100,[-70.0],87.6,122.0,0.0
sta1,ap4,1573592465955,100,[-69.0],86.4,120.5,0.0
sta1,ap4,1573592466312,100,[-70.0],84.9,121.7,0.0
sta1,ap4,1573592466662,100,[-70.0],83.4,122.9,0.0
sta1,ap4,1573592467011,100,[-71.0],81.9,124.1,0.0
sta1,ap4,1573592467361,100,[-70.0],83.4,122.9,0.0
sta1,ap4,1573592467724,100,[-70.0],84.9,121.7,0.0
sta1,ap4,1573592468074,100,[-70.0],86.1,123.2,0.0
sta1,ap4,1573592468423,100,[-70.0],84.9,121.7,0.0
sta1,ap4,1573592468772,100,[-70.0],86.1,123.2,0.0
sta1,ap4,1573592469120,100,[-71.0],84.6,124.4,0.0
sta1,ap4,1573592469468,100,[-71.0],85.8,125.9,0.0
sta1,ap4,1573592469817,100,[-72.0],84.3,127.1,0.0
sta1,ap4,1573592470167,100,[-72.0],85.5,128.6,0.0
sta1,ap4,1573592470519,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592470925,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592471278,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592471629,100,[-73.0],82.5,131.0,0.0
sta1,ap4,1573592471981,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592472332,100,[-73.0],82.5,131.0,0.0
sta1,ap4,1573592472684,100,[-73.0],84.0,129.8,0.0
sta1,ap4,1573592473039,100,[-72.0],85.5,128.6,0.0
sta1,ap4,1573592473414,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592473763,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592474109,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592474456,100,[-73.0],87.9,131.6,0.0
sta1,ap4,1573592474805,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592475158,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592475505,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592475856,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592476213,100,[-74.0],86.4,132.8,0.0
sta1,ap4,1573592476566,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592476917,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592477267,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592477624,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592477977,100,[-73.0],82.5,131.0,0.0
sta1,ap4,1573592478328,100,[-74.0],81.0,132.2,0.0
sta1,ap4,1573592478679,100,[-74.0],82.2,133.7,0.0
sta1,ap4,1573592479027,100,[-74.0],81.0,132.2,0.0
sta1,ap4,1573592479387,100,[-74.0],82.2,133.7,0.0
sta1,ap4,1573592479737,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592480087,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592480436,100,[-74.0],86.1,135.5,0.0
sta1,ap4,1573592480801,100,[-74.0],87.6,134.3,0.0
sta1,ap4,1573592481157,100,[-74.0],86.4,132.8,0.0
sta1,ap4,1573592481505,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592481854,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592482202,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592482552,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592482948,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592483332,100,[-74.0],83.7,132.5,0.0
sta1,ap4,1573592483687,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592484038,100,[-74.0],86.4,132.8,0.0
sta1,ap4,1573592484387,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592484737,100,[-73.0],86.7,130.1,0.0
sta1,ap4,1573592485093,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592485441,100,[-74.0],86.4,132.8,0.0
sta1,ap4,1573592485795,100,[-73.0],85.2,131.3,0.0
sta1,ap4,1573592486146,100,[-74.0],86.4,132.8,0.0
sta1,ap4,1573592486495,100,[-74.0],84.9,134.0,0.0
sta1,ap4,1573592486848,100,[-74.0],86.1,135.5,0.0
sta1,ap4,1573592487207,100,[-75.0],87.3,137.0,0.0
sta1,ap4,1573592487557,100,[-75.0],88.5,138.5,0.0
sta1,ap4,1573592487916,100,[-75.0],89.7,140.0,0.0
sta1,ap4,1573592488281,100,[-75.0],88.5,138.5,0.0
sta1,ap3,1573592488660,99.9,[-75.0],90.0,137.3,0.0
sta1,ap3,1573592489011,99.9,[-77.0],88.8,135.8,0.0
sta1,ap4,1573592489388,99.8,[-77.0],87.3,137.0,0.0
sta1,ap4,1573592489742,99.8,[-75.0],88.5,138.5,0.0
sta1,ap4,1573592490099,99.8,[-75.0],87.3,137.0,0.0
sta1,ap4,1573592490448,99.8,[-75.0],88.5,138.5,0.0
sta1,ap4,1573592490804,99.8,[-75.0],87.0,139.7,0.0
sta1,ap4,1573592491157,99.8,[-75.0],85.8,138.2,0.0
sta1,ap4,1573592491503,99.8,[-75.0],87.0,139.7,0.0
sta1,ap4,1573592491853,99.8,[-75.0],88.5,138.5,0.0
sta1,ap4,1573592492205,99.8,[-75.0],87.0,139.7,0.0
sta1,ap4,1573592492555,99.8,[-75.0],85.8,138.2,0.0
sta1,ap4,1573592492907,99.8,[-75.0],84.3,139.4,0.0
sta1,ap4,1573592493261,99.8,[-75.0],85.8,138.2,0.0
sta1,ap4,1573592493610,99.8,[-75.0],87.0,139.7,0.0
sta1,ap4,1573592493961,99.8,[-76.0],85.5,140.9,0.0
sta1,ap4,1573592494308,99.8,[-75.0],84.3,139.4,0.0
sta1,ap4,1573592494661,99.8,[-75.0],85.8,138.2,0.0
sta1,ap4,1573592495011,99.8,[-75.0],87.3,137.0,0.0
sta1,ap4,1573592495359,99.8,[-74.0],86.1,135.5,0.0
sta1,ap4,1573592495728,99.8,[-75.0],87.3,137.0,0.0
sta1,ap4,1573592496082,99.8,[-74.0],86.1,135.5,0.0
sta1,ap4,1573592496444,99.8,[-74.0],87.6,134.3,0.0
